2025-07-19 12:10:04 | GameAutomationBot |     INFO | initialize:48 | Configuration loaded and validated successfully
2025-07-19 12:10:04 | GameAutomationBot |     INFO | initialize:52 | 🤖 YOLO11 model will be used: models/best.pt
2025-07-19 12:10:05 | GameAutomationBot |     INFO | _load_model:320 | ✅ YOLO11 model loaded successfully from: models\best.pt
2025-07-19 12:10:05 | GameAutomationBot |     INFO | _load_model:325 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'watch_ads_loading', 'windows_button']
2025-07-19 12:10:05 | GameAutomationBot |     INFO | __init__:30 | ✅ YOLO11 detection enabled
2025-07-19 12:10:05 | GameAutomationBot |     INFO | initialize:69 | 🔍 Detection method: YOLO11
2025-07-19 12:10:05 | GameAutomationBot |     INFO | initialize:72 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'watch_ads_loading', 'windows_button']
2025-07-19 12:10:05 | GameAutomationBot |     INFO | initialize:78 | Bot modules initialized successfully
2025-07-19 12:10:05 | GameAutomationBot |     INFO | run_interactive_mode:227 | Starting YOLO-enhanced interactive mode...
2025-07-19 12:10:50 | GameAutomationBot |     INFO | launch_top_eleven:117 | 🚀 Launching Top Eleven on BlueStacks...
2025-07-19 12:10:50 | GameAutomationBot |     INFO | optimize_for_bluestacks:217 | Applied BlueStacks optimizations
2025-07-19 12:10:50 | GameAutomationBot |     INFO | _open_windows_start_menu:75 | 🔍 Step 1: Opening Windows start menu...
2025-07-19 12:10:50 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/Windows/start_icon_dark_mode.png
2025-07-19 12:10:50 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/Windows/start_icon_light_mode.png
2025-07-19 12:10:50 | GameAutomationBot |    DEBUG | find_image_on_screen:59 | Image found at coordinates: (677, 2071)
2025-07-19 12:10:51 | GameAutomationBot |     INFO | click_at_point:46 | ✅ Clicked at (677, 2071) using default method
2025-07-19 12:10:51 | GameAutomationBot |     INFO | _open_windows_start_menu:99 | ✅ Clicked Windows start icon (light mode)
2025-07-19 12:10:52 | GameAutomationBot |     INFO | _launch_bluestacks:116 | 🔍 Step 2: Launching BlueStacks...
2025-07-19 12:10:52 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('T', 'o', 'p', ' ', 'E', 'l', 'e', 'v', 'e', 'n')
2025-07-19 12:10:53 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 10 character(s)/string(s)
2025-07-19 12:10:55 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('enter',)
2025-07-19 12:10:56 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 1 character(s)/string(s)
2025-07-19 12:10:56 | GameAutomationBot |     INFO | _launch_bluestacks:128 | ✅ BlueStacks launch initiated
2025-07-19 12:10:56 | GameAutomationBot |     INFO | _wait_for_bluestacks_ready:138 | ⏳ Step 3: Waiting for BlueStacks to be ready...
2025-07-19 12:10:56 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:280 | ⏳ Waiting for BlueStacks to be ready (timeout: 60s)...
2025-07-19 12:10:56 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #1
2025-07-19 12:10:56 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:10:59 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #2
2025-07-19 12:10:59 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:03 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #3
2025-07-19 12:11:03 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:07 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #4
2025-07-19 12:11:07 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:10 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #5
2025-07-19 12:11:10 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:14 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #6
2025-07-19 12:11:14 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:18 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #7
2025-07-19 12:11:18 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:22 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #8
2025-07-19 12:11:22 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:26 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #9
2025-07-19 12:11:26 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:30 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #10
2025-07-19 12:11:30 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:34 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #11
2025-07-19 12:11:34 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:38 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #12
2025-07-19 12:11:38 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:42 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #13
2025-07-19 12:11:42 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:45 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #14
2025-07-19 12:11:45 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:49 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #15
2025-07-19 12:11:49 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:53 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #16
2025-07-19 12:11:53 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:11:56 | GameAutomationBot |  WARNING | wait_for_bluestacks_ready:310 | ⚠️ BlueStacks not ready after 60 seconds
2025-07-19 12:11:56 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:311 | 🤷 Proceeding anyway - BlueStacks might be ready but not detected
2025-07-19 12:11:56 | GameAutomationBot |     INFO | _navigate_to_bluestacks_home:148 | 🔍 Step 4: Navigating to BlueStacks home...
2025-07-19 12:11:56 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/BlueStack_homeButton.png
2025-07-19 12:11:57 | GameAutomationBot |    DEBUG | find_image_on_screen:59 | Image found at coordinates: (770, 52)
2025-07-19 12:11:57 | GameAutomationBot |     INFO | click_at_point:46 | ✅ Clicked at (770, 52) using default method
2025-07-19 12:11:57 | GameAutomationBot |     INFO | _navigate_to_bluestacks_home:165 | ✅ Clicked BlueStacks home button
2025-07-19 12:11:59 | GameAutomationBot |     INFO | _launch_top_eleven:180 | 🔍 Step 5: Launching Top Eleven app...
2025-07-19 12:11:59 | GameAutomationBot |     INFO | _launch_top_eleven:183 | ⏳ Waiting for home screen to be ready...
2025-07-19 12:12:04 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/top_eleven.png
2025-07-19 12:12:05 | GameAutomationBot |    ERROR | _launch_top_eleven:205 | ❌ Top Eleven app not found on screen, point None top_eleven_image <class 'PIL.PngImagePlugin.PngImageFile'>
2025-07-19 12:12:05 | GameAutomationBot |    ERROR | launch_top_eleven:138 | ❌ Failed to launch Top Eleven
2025-07-19 12:12:36 | GameAutomationBot |     INFO | start_resource_farming:147 | 🌾 Starting YOLO-enhanced resource farming automation...
2025-07-19 12:12:36 | GameAutomationBot |     INFO | start_farming:64 | 🌾 Starting YOLO-enhanced resource farming sequence...
2025-07-19 12:12:36 | GameAutomationBot |     INFO | start_farming:71 | 🔍 Step 1: Looking for rest icon using YOLO...
2025-07-19 12:12:54 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:12:54 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:12:55 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:12:55 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:12:56 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:12:56 | GameAutomationBot |  WARNING | start_farming:83 | ⚠️ Rest icon not found with YOLO - taking debug screenshot
2025-07-19 12:12:57 | GameAutomationBot |     INFO | save_annotated_screenshot:556 | 📸 Annotated screenshot saved: logs\rest_icon_not_found_yolo.png
2025-07-19 12:12:57 | GameAutomationBot |  WARNING | start_farming:85 | 🛑 Stopping farming sequence - rest icon not available
2025-07-19 12:12:57 | GameAutomationBot |    DEBUG | setup_key_handler:70 | Keyboard listener started
2025-07-19 12:12:57 | GameAutomationBot |     INFO | continuous_farming:267 | 🔁 Starting YOLO-enhanced continuous farming (interval: 5s)
2025-07-19 12:12:57 | GameAutomationBot |     INFO | continuous_farming:290 | 🏁 YOLO-enhanced continuous farming stopped. Total greens: 0
2025-07-19 12:13:28 | GameAutomationBot |     INFO | start_resource_farming:147 | 🌾 Starting YOLO-enhanced resource farming automation...
2025-07-19 12:13:28 | GameAutomationBot |     INFO | start_farming:64 | 🌾 Starting YOLO-enhanced resource farming sequence...
2025-07-19 12:13:28 | GameAutomationBot |     INFO | start_farming:71 | 🔍 Step 1: Looking for rest icon using YOLO...
2025-07-19 12:13:28 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:13:28 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:13:29 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:13:30 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:13:30 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:13:30 | GameAutomationBot |  WARNING | start_farming:83 | ⚠️ Rest icon not found with YOLO - taking debug screenshot
2025-07-19 12:13:31 | GameAutomationBot |     INFO | save_annotated_screenshot:556 | 📸 Annotated screenshot saved: logs\rest_icon_not_found_yolo.png
2025-07-19 12:13:31 | GameAutomationBot |  WARNING | start_farming:85 | 🛑 Stopping farming sequence - rest icon not available
2025-07-19 12:13:31 | GameAutomationBot |    DEBUG | setup_key_handler:70 | Keyboard listener started
2025-07-19 12:13:31 | GameAutomationBot |     INFO | continuous_farming:267 | 🔁 Starting YOLO-enhanced continuous farming (interval: 5s)
2025-07-19 12:13:31 | GameAutomationBot |     INFO | continuous_farming:290 | 🏁 YOLO-enhanced continuous farming stopped. Total greens: 0
2025-07-19 12:14:17 | GameAutomationBot |     INFO | test_yolo_detection:184 | 🧪 Testing YOLO detection...
2025-07-19 12:14:18 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:14:18 | GameAutomationBot |     INFO | save_annotated_screenshot:556 | 📸 Annotated screenshot saved: logs\yolo_test
2025-07-19 12:16:11 | GameAutomationBot |     INFO | test_yolo_detection:184 | 🧪 Testing YOLO detection...
2025-07-19 12:16:12 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-07-19 12:16:12 | GameAutomationBot |     INFO | save_annotated_screenshot:556 | 📸 Annotated screenshot saved: logs\yolo_test
2025-07-19 12:34:43 | GameAutomationBot |     INFO | launch_top_eleven:117 | 🚀 Launching Top Eleven on BlueStacks...
2025-07-19 12:34:43 | GameAutomationBot |     INFO | optimize_for_bluestacks:217 | Applied BlueStacks optimizations
2025-07-19 12:34:43 | GameAutomationBot |     INFO | _open_windows_start_menu:75 | 🔍 Step 1: Opening Windows start menu...
2025-07-19 12:34:43 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/Windows/start_icon_dark_mode.png
2025-07-19 12:34:44 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/Windows/start_icon_light_mode.png
2025-07-19 12:34:44 | GameAutomationBot |    DEBUG | find_image_on_screen:59 | Image found at coordinates: (677, 2071)
2025-07-19 12:34:45 | GameAutomationBot |     INFO | click_at_point:46 | ✅ Clicked at (677, 2071) using default method
2025-07-19 12:34:45 | GameAutomationBot |     INFO | _open_windows_start_menu:99 | ✅ Clicked Windows start icon (light mode)
2025-07-19 12:34:46 | GameAutomationBot |     INFO | _launch_bluestacks:116 | 🔍 Step 2: Launching BlueStacks...
2025-07-19 12:34:46 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('T', 'o', 'p', ' ', 'E', 'l', 'e', 'v', 'e', 'n')
2025-07-19 12:34:47 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 10 character(s)/string(s)
2025-07-19 12:34:49 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('enter',)
2025-07-19 12:34:49 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 1 character(s)/string(s)
2025-07-19 12:34:49 | GameAutomationBot |     INFO | _launch_bluestacks:128 | ✅ BlueStacks launch initiated
2025-07-19 12:34:49 | GameAutomationBot |     INFO | _wait_for_bluestacks_ready:138 | ⏳ Step 3: Waiting for BlueStacks to be ready...
2025-07-19 12:34:49 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:280 | ⏳ Waiting for BlueStacks to be ready (timeout: 60s)...
2025-07-19 12:34:49 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #1
2025-07-19 12:34:49 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:34:53 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #2
2025-07-19 12:34:53 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:34:56 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #3
2025-07-19 12:34:56 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:00 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #4
2025-07-19 12:35:00 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:04 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #5
2025-07-19 12:35:04 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:07 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #6
2025-07-19 12:35:07 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:11 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #7
2025-07-19 12:35:11 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:15 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #8
2025-07-19 12:35:15 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:19 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #9
2025-07-19 12:35:19 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:23 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #10
2025-07-19 12:35:23 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:27 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #11
2025-07-19 12:35:27 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:30 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #12
2025-07-19 12:35:30 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:34 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #13
2025-07-19 12:35:34 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:38 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #14
2025-07-19 12:35:38 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-19 12:35:41 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:297 | 🔍 BlueStacks ready check #15
2025-07-19 12:35:41 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
