2025-07-19 11:27:24 | GameAutomationBot |     INFO | initialize:47 | Configuration loaded and validated successfully
2025-07-19 11:27:24 | GameAutomationBot |     INFO | initialize:58 | Bot modules initialized successfully
2025-07-19 11:27:24 | GameAutomationBot |     INFO | run_interactive_mode:156 | Starting simplified interactive mode...
2025-07-19 11:30:21 | GameAutomationBot |     INFO | start_resource_farming:121 | 🌾 Starting resource farming automation...
2025-07-19 11:30:21 | GameAutomationBot |     INFO | start_farming:52 | 🌾 Starting resource farming sequence...
2025-07-19 11:30:21 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\rest_icon_dark_background.png
2025-07-19 11:30:22 | GameAutomationBot |    DEBUG | find_image_on_screen:59 | Image found at coordinates: (2169, 163)
2025-07-19 11:30:22 | GameAutomationBot |     INFO | start_farming:83 | ✅ Step 1: Found and clicking rest icon
2025-07-19 11:30:23 | GameAutomationBot |     INFO | click_at_point:46 | ✅ Clicked at (2169, 163) using default method
2025-07-19 11:30:23 | GameAutomationBot |     INFO | start_farming:90 | ⏳ Step 1.5: Sleep for 5 seconds waiting for watch ads button to appear...
2025-07-19 11:30:28 | GameAutomationBot |     INFO | start_farming:95 | ⏳ Step 2: Waiting for watch ads button to appear...
2025-07-19 11:30:28 | GameAutomationBot |     INFO | wait_for_image:83 | Waiting for Image to be ready...
2025-07-19 11:30:28 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #1
2025-07-19 11:30:28 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:31 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #2
2025-07-19 11:30:31 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:35 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #3
2025-07-19 11:30:35 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:38 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #4
2025-07-19 11:30:38 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:42 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #5
2025-07-19 11:30:42 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:46 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #6
2025-07-19 11:30:46 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:49 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #7
2025-07-19 11:30:49 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:53 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #8
2025-07-19 11:30:53 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:56 | GameAutomationBot |    DEBUG | wait_for_image:91 | 🔍 Image at Assets\TopEleven\watch_ads_green_windowed.png ready check #9
2025-07-19 11:30:56 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets\TopEleven\watch_ads_green_windowed.png
2025-07-19 11:30:59 | GameAutomationBot |     INFO | signal_handler:207 | 📡 Received signal 2 - shutting down gracefully...
2025-07-19 11:30:59 | GameAutomationBot |     INFO | stop_farming:226 | 🛑 Stopping resource farming...
2025-07-19 11:30:59 | GameAutomationBot |     INFO | cleanup:199 | ✅ Cleanup completed
