2025-08-07 23:30:55 | GameAutomationBot |     INFO | initialize:79 | Configuration loaded
2025-08-07 23:30:55 | GameAutomationBot |     INFO | initialize:83 | YOLO model: models/best.pt
2025-08-07 23:30:56 | GameAutomationBot |     INFO | _load_model:38 | YOLO11 model loaded successfully from: models\best.pt
2025-08-07 23:30:56 | GameAutomationBot |     INFO | _load_model:43 | Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-08-07 23:30:56 | GameAutomationBot |     INFO | __init__:31 | YOLO11 detection enabled
2025-08-07 23:30:56 | GameAutomationBot |     INFO | initialize:92 | Detection method: Traditional Image Matching
2025-08-07 23:30:56 | GameAutomationBot |     INFO | initialize:100 | Modules initialized
2025-08-07 23:30:59 | GameAutomationBot |     INFO | launch_top_eleven:111 | Launching Top Eleven on BlueStacks...
2025-08-07 23:30:59 | GameAutomationBot |     INFO | optimize_for_bluestacks:122 | Applied BlueStacks optimizations
2025-08-07 23:30:59 | GameAutomationBot |     INFO | _open_windows_search:68 | Step 1: Opening Windows search...
2025-08-07 23:31:01 | GameAutomationBot |     INFO | _open_windows_search:79 | Windows search opened
2025-08-07 23:31:01 | GameAutomationBot |     INFO | _launch_bluestacks:88 | Step 2: Launching BlueStacks...
2025-08-07 23:31:01 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('t', 'o', 'p', ' ', 'e', 'l', 'e', 'v', 'e', 'n')
2025-08-07 23:31:03 | GameAutomationBot |     INFO | key_boardtype:115 |  Successfully typed 10 character(s)/string(s)
2025-08-07 23:31:05 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('enter',)
2025-08-07 23:31:05 | GameAutomationBot |     INFO | key_boardtype:115 |  Successfully typed 1 character(s)/string(s)
2025-08-07 23:31:05 | GameAutomationBot |     INFO | _launch_bluestacks:100 | BlueStacks launch initiated
2025-08-07 23:31:05 | GameAutomationBot |     INFO | _wait_for_bluestacks_ready:110 | Step 3: Waiting for BlueStacks to be ready...
2025-08-07 23:31:05 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:185 | Waiting for BlueStacks to be ready (timeout: 60s)...
2025-08-07 23:31:05 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #1
2025-08-07 23:31:05 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:08 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #2
2025-08-07 23:31:08 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:12 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #3
2025-08-07 23:31:12 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:16 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #4
2025-08-07 23:31:16 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:19 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #5
2025-08-07 23:31:19 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:23 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #6
2025-08-07 23:31:23 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:27 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #7
2025-08-07 23:31:27 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:30 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #8
2025-08-07 23:31:30 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:34 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #9
2025-08-07 23:31:34 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:38 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #10
2025-08-07 23:31:38 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:41 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #11
2025-08-07 23:31:41 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:45 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #12
2025-08-07 23:31:45 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:48 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #13
2025-08-07 23:31:48 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:52 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #14
2025-08-07 23:31:52 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:56 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #15
2025-08-07 23:31:56 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:31:59 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #16
2025-08-07 23:31:59 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:32:03 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #17
2025-08-07 23:32:03 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:32:06 | GameAutomationBot |  WARNING | wait_for_bluestacks_ready:215 | BlueStacks not ready after 60 seconds
2025-08-07 23:32:06 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:216 | Proceeding anyway - BlueStacks might be ready but not detected
2025-08-07 23:32:06 | GameAutomationBot |     INFO | open_top_eleven_app:56 | Top Eleven launch sequence completed successfully
2025-08-07 23:32:06 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:185 | Waiting for BlueStacks to be ready (timeout: 120s)...
2025-08-07 23:32:06 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #1
2025-08-07 23:32:06 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:32:10 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #2
2025-08-07 23:32:10 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:32:13 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #3
2025-08-07 23:32:13 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:32:17 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #4
2025-08-07 23:32:17 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 23:32:21 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | BlueStacks ready check #5
2025-08-07 23:32:21 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
