2025-08-06 00:29:53 | GameAutomationBot |     INFO | initialize:48 | Configuration loaded and validated successfully
2025-08-06 00:29:53 | GameAutomationBot |     INFO | initialize:52 | 🤖 YOLO11 model will be used: models/best.pt
2025-08-06 00:29:54 | GameAutomationBot |     INFO | _load_model:320 | ✅ YOLO11 model loaded successfully from: models\best.pt
2025-08-06 00:29:54 | GameAutomationBot |     INFO | _load_model:325 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-08-06 00:29:54 | GameAutomationBot |     INFO | __init__:31 | ✅ YOLO11 detection enabled
2025-08-06 00:29:54 | GameAutomationBot |     INFO | initialize:69 | 🔍 Detection method: Traditional Image Matching
2025-08-06 00:29:54 | GameAutomationBot |     INFO | initialize:78 | Bot modules initialized successfully
2025-08-06 01:23:45 | GameAutomationBot |     INFO | launch_top_eleven:117 | 🚀 Launching Top Eleven on BlueStacks...
2025-08-06 01:23:45 | GameAutomationBot |     INFO | optimize_for_bluestacks:122 | Applied BlueStacks optimizations
2025-08-06 01:23:45 | GameAutomationBot |     INFO | _open_windows_search:67 | 🔍 Step 1: Opening Windows search...
2025-08-06 01:23:45 | GameAutomationBot |    ERROR | launch_top_eleven:138 | ❌ Failed to launch Top Eleven
2025-08-06 01:23:50 | GameAutomationBot |     INFO | start_resource_farming:147 | 🌾 Starting YOLO-enhanced resource farming automation...
2025-08-06 01:23:50 | GameAutomationBot |     INFO | start_farming:65 | 🌾 Starting YOLO-enhanced resource farming sequence...
2025-08-06 01:23:50 | GameAutomationBot |     INFO | start_farming:69 | 🔍 Step 1: Looking for rest icon using YOLO...
2025-08-06 01:23:53 | GameAutomationBot |     INFO | start_rest_farming_player:168 | 🌾 Starting automated player rest farming automation...
2025-08-06 01:23:53 | GameAutomationBot |     INFO | farm_rest_player:155 | 🌾 Starting farm rest player...
2025-08-06 01:23:53 | GameAutomationBot |     INFO | farm_rest_player:158 | ⏳ Step 1: Waiting for watch ads button to appear...
2025-08-06 01:23:55 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-08-06 01:23:55 | GameAutomationBot |  WARNING | start_farming:74 | ⚠️ 4 with YOLO - taking debug screenshot
2025-08-06 01:23:55 | GameAutomationBot |    ERROR | start_resource_farming:164 | Error in resource farming: 'BotConfig' object has no attribute 'screenshot_dir'
2025-08-06 01:23:57 | GameAutomationBot |     INFO | test_yolo_detection:205 | 🧪 Testing YOLO detection...
2025-08-06 01:23:57 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-08-06 01:23:58 | GameAutomationBot |     INFO | save_annotated_screenshot:556 | 📸 Annotated screenshot saved: logs\text\yolo_test.png
2025-08-06 01:23:58 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-08-06 01:23:58 | GameAutomationBot |    ERROR | farm_rest_player:173 | ❌ Watch ads button not found with YOLO
2025-08-06 01:23:58 | GameAutomationBot |    ERROR | start_rest_farming_player:185 | Error in resource farming: 'BotConfig' object has no attribute 'screenshot_dir'
2025-08-06 01:24:04 | GameAutomationBot |     INFO | test_yolo_detection:205 | 🧪 Testing YOLO detection...
2025-08-06 01:24:04 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 0 objects
2025-08-06 01:24:04 | GameAutomationBot |     INFO | save_annotated_screenshot:556 | 📸 Annotated screenshot saved: logs\text\yolo_test.png
2025-08-06 01:25:54 | GameAutomationBot |     INFO | stop_farming:257 | 🛑 Stopping resource farming...
2025-08-06 01:25:54 | GameAutomationBot |     INFO | cleanup:299 | ✅ Cleanup completed
