2025-08-07 23:33:13 | GameAutomationBot |     INFO | initialize:79 | Configuration loaded
2025-08-07 23:33:13 | GameAutomationBot |     INFO | initialize:83 | YOLO model: models/best.pt
2025-08-07 23:33:14 | GameAutomationBot |     INFO | _load_model:38 | YOLO11 model loaded successfully from: models\best.pt
2025-08-07 23:33:14 | GameAutomationBot |     INFO | _load_model:43 | Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-08-07 23:33:14 | GameAutomationBot |     INFO | __init__:31 | YOLO11 detection enabled
2025-08-07 23:33:14 | GameAutomationBot |     INFO | initialize:92 | Detection method: Traditional Image Matching
2025-08-07 23:33:14 | GameAutomationBot |     INFO | initialize:100 | Modules initialized
2025-08-07 23:33:18 | GameAutomationBot |     INFO | start_resource_farming:124 | Starting resource farming...
2025-08-07 23:33:18 | GameAutomationBot |     INFO | start_farming:65 | Starting YOLO-enhanced resource farming sequence...
2025-08-07 23:33:18 | GameAutomationBot |     INFO | start_farming:68 | Step 1: Looking for rest icon using YOLO...
2025-08-07 23:33:20 | GameAutomationBot |    DEBUG | find_objects_on_screen:115 | Found rest_pack at (2174, 172) with confidence 0.76
2025-08-07 23:33:20 | GameAutomationBot |     INFO | find_objects_on_screen:119 | YOLO detection found 1 objects
2025-08-07 23:33:20 | GameAutomationBot |     INFO | find_best_match:147 | Best match: rest_pack (confidence: 0.76)
2025-08-07 23:33:20 | GameAutomationBot |     INFO | start_farming:80 | Step 1: Found and clicking rest icon
2025-08-07 23:33:21 | GameAutomationBot |     INFO | click_at_point:46 |  Clicked at (2174, 172) using default method
2025-08-07 23:33:21 | GameAutomationBot |     INFO | start_farming:87 | Step 2: Waiting for watch ads button to appear...
2025-08-07 23:33:26 | GameAutomationBot |    DEBUG | find_objects_on_screen:115 | Found watch_ads_general at (3356, 522) with confidence 0.88
2025-08-07 23:33:26 | GameAutomationBot |    DEBUG | find_objects_on_screen:115 | Found watch_ads_general at (3352, 1284) with confidence 0.62
2025-08-07 23:33:26 | GameAutomationBot |     INFO | find_objects_on_screen:119 | YOLO detection found 2 objects
2025-08-07 23:33:26 | GameAutomationBot |     INFO | find_best_match:147 | Best match: watch_ads_general (confidence: 0.88)
2025-08-07 23:33:26 | GameAutomationBot |     INFO | start_farming:95 | Step 2: Found watch ads button using class: watch_ads_general
2025-08-07 23:33:27 | GameAutomationBot |     INFO | click_at_point:46 |  Clicked at (3356, 522) using default method
2025-08-07 23:33:30 | GameAutomationBot |     INFO | start_farming:108 | Step 3: Sleeping for 61 seconds...
2025-08-07 23:34:31 | GameAutomationBot |     INFO | start_farming:112 | Step 4: Attempting to skip ads using YOLO...
2025-08-07 23:34:31 | GameAutomationBot |     INFO | find_objects_on_screen:119 | YOLO detection found 0 objects
2025-08-07 23:34:31 | GameAutomationBot |     INFO | _handle_ads_with_yolo:227 | No objects found for classes: ['skip_ad']
2025-08-07 23:34:31 | GameAutomationBot |     INFO | start_farming:117 | Step 5: No skip ads found, trying close ads...
2025-08-07 23:34:31 | GameAutomationBot |    DEBUG | find_objects_on_screen:115 | Found close_ad at (3531, 146) with confidence 0.26
2025-08-07 23:34:31 | GameAutomationBot |     INFO | find_objects_on_screen:119 | YOLO detection found 1 objects
2025-08-07 23:34:31 | GameAutomationBot |     INFO | _handle_ads_with_yolo:233 | Found close_ad with confidence 0.26
2025-08-07 23:34:32 | GameAutomationBot |     INFO | click_at_point:46 |  Clicked at (3531, 146) using default method
2025-08-07 23:34:32 | GameAutomationBot |     INFO | _handle_ads_with_yolo:238 | Successfully clicked close_ad
2025-08-07 23:34:33 | GameAutomationBot |     INFO | find_objects_on_screen:119 | YOLO detection found 0 objects
2025-08-07 23:34:33 | GameAutomationBot |     INFO | start_farming:129 | Step 6: Sleeping for 65s - checking for second ad...
2025-08-07 23:34:50 | GameAutomationBot |     INFO | stop_farming:252 | Stopping resource farming...
2025-08-07 23:34:50 | GameAutomationBot |     INFO | cleanup:186 | Cleanup done
